Filename,Sample Rate,Bit Depth,Duration (s),Channels,Number of Frames
03-01-01-01-01-01-09.wav,16000,16,3.27,1,52319
03-01-01-01-01-02-09.wav,16000,16,3.203,1,51251
03-01-01-01-02-01-09.wav,16000,16,3.337,1,53387
03-01-01-01-02-02-09.wav,16000,16,3.237,1,51785
03-01-02-01-01-01-09.wav,16000,16,3.337,1,53387
03-01-02-01-01-02-09.wav,16000,16,3.337,1,53387
03-01-02-01-02-01-09.wav,16000,16,3.47,1,55522
03-01-02-01-02-02-09.wav,16000,16,3.57,1,57124
03-01-02-02-01-01-09.wav,16000,16,3.337,1,53387
03-01-02-02-01-02-09.wav,16000,16,3.437,1,54988
03-01-02-02-02-01-09.wav,16000,16,3.804,1,60861
03-01-02-02-02-02-09.wav,16000,16,3.637,1,58192
03-01-03-01-01-01-09.wav,16000,16,3.337,1,53387
03-01-03-01-01-02-09.wav,16000,16,3.537,1,56590
03-01-03-01-02-01-09.wav,16000,16,3.303,1,52853
03-01-03-01-02-02-09.wav,16000,16,3.47,1,55522
03-01-03-02-01-01-09.wav,16000,16,3.77,1,60327
03-01-03-02-01-02-09.wav,16000,16,4.171,1,66733
03-01-03-02-02-01-09.wav,16000,16,3.57,1,57124
03-01-03-02-02-02-09.wav,16000,16,3.57,1,57124
03-01-04-01-01-01-09.wav,16000,16,3.27,1,52319
03-01-04-01-01-02-09.wav,16000,16,3.437,1,54988
03-01-04-01-02-01-09.wav,16000,16,3.403,1,54454
03-01-04-01-02-02-09.wav,16000,16,3.403,1,54455
03-01-04-02-01-01-09.wav,16000,16,3.937,1,62996
03-01-04-02-01-02-09.wav,16000,16,3.904,1,62462
03-01-04-02-02-01-09.wav,16000,16,3.637,1,58192
03-01-04-02-02-02-09.wav,16000,16,3.871,1,61929
03-01-05-01-01-01-09.wav,16000,16,3.57,1,57124
03-01-05-01-01-02-09.wav,16000,16,3.57,1,57124
03-01-05-01-02-01-09.wav,16000,16,3.737,1,59793
03-01-05-01-02-02-09.wav,16000,16,3.537,1,56590
03-01-05-02-01-01-09.wav,16000,16,3.804,1,60861
03-01-05-02-01-02-09.wav,16000,16,3.77,1,60327
03-01-05-02-02-01-09.wav,16000,16,4.371,1,69937
03-01-05-02-02-02-09.wav,16000,16,3.971,1,63530
03-01-06-01-01-01-09.wav,16000,16,3.17,1,50717
03-01-06-01-01-02-09.wav,16000,16,3.17,1,50717
03-01-06-01-02-01-09.wav,16000,16,3.136,1,50184
03-01-06-01-02-02-09.wav,16000,16,3.136,1,50183
03-01-06-02-01-01-09.wav,16000,16,3.237,1,51785
03-01-06-02-01-02-09.wav,16000,16,3.27,1,52319
03-01-06-02-02-01-09.wav,16000,16,3.237,1,51785
03-01-06-02-02-02-09.wav,16000,16,3.237,1,51785
03-01-07-01-01-01-09.wav,16000,16,3.403,1,54454
03-01-07-01-01-02-09.wav,16000,16,3.504,1,56056
03-01-07-01-02-01-09.wav,16000,16,3.47,1,55522
03-01-07-01-02-02-09.wav,16000,16,3.403,1,54454
03-01-07-02-01-01-09.wav,16000,16,3.637,1,58192
03-01-07-02-01-02-09.wav,16000,16,3.537,1,56590
03-01-07-02-02-01-09.wav,16000,16,3.57,1,57124
03-01-07-02-02-02-09.wav,16000,16,3.604,1,57657
03-01-08-01-01-01-09.wav,16000,16,3.07,1,49116
03-01-08-01-01-02-09.wav,16000,16,3.337,1,53387
03-01-08-01-02-01-09.wav,16000,16,3.437,1,54988
03-01-08-01-02-02-09.wav,16000,16,3.437,1,54988
03-01-08-02-01-01-09.wav,16000,16,3.303,1,52853
03-01-08-02-01-02-09.wav,16000,16,3.27,1,52319
03-01-08-02-02-01-09.wav,16000,16,3.403,1,54454
03-01-08-02-02-02-09.wav,16000,16,3.437,1,54988
