Filename,Sample Rate,Bit Depth,Duration (s),Channels,Number of Frames
03-01-01-01-01-01-18.wav,16000,16,3.47,1,55522
03-01-01-01-01-02-18.wav,16000,16,3.537,1,56590
03-01-01-01-02-01-18.wav,16000,16,3.47,1,55522
03-01-01-01-02-02-18.wav,16000,16,3.47,1,55522
03-01-02-01-01-01-18.wav,16000,16,3.47,1,55522
03-01-02-01-01-02-18.wav,16000,16,3.403,1,54455
03-01-02-01-02-01-18.wav,16000,16,3.637,1,58192
03-01-02-01-02-02-18.wav,16000,16,3.504,1,56056
03-01-02-02-01-01-18.wav,16000,16,3.604,1,57658
03-01-02-02-01-02-18.wav,16000,16,3.604,1,57658
03-01-02-02-02-01-18.wav,16000,16,3.604,1,57657
03-01-02-02-02-02-18.wav,16000,16,3.604,1,57658
03-01-03-01-01-01-18.wav,16000,16,3.403,1,54454
03-01-03-01-01-02-18.wav,16000,16,3.37,1,53920
03-01-03-01-02-01-18.wav,16000,16,3.437,1,54988
03-01-03-01-02-02-18.wav,16000,16,3.504,1,56056
03-01-03-02-01-01-18.wav,16000,16,3.77,1,60327
03-01-03-02-01-02-18.wav,16000,16,3.937,1,62996
03-01-03-02-02-01-18.wav,16000,16,3.77,1,60327
03-01-03-02-02-02-18.wav,16000,16,3.837,1,61395
03-01-04-01-01-01-18.wav,16000,16,3.57,1,57124
03-01-04-01-01-02-18.wav,16000,16,3.637,1,58191
03-01-04-01-02-01-18.wav,16000,16,3.537,1,56590
03-01-04-01-02-02-18.wav,16000,16,3.637,1,58191
03-01-04-02-01-01-18.wav,16000,16,3.804,1,60861
03-01-04-02-01-02-18.wav,16000,16,3.837,1,61395
03-01-04-02-02-01-18.wav,16000,16,4.138,1,66200
03-01-04-02-02-02-18.wav,16000,16,3.837,1,61395
03-01-05-01-01-01-18.wav,16000,16,3.904,1,62462
03-01-05-01-01-02-18.wav,16000,16,4.171,1,66733
03-01-05-01-02-01-18.wav,16000,16,3.57,1,57124
03-01-05-01-02-02-18.wav,16000,16,3.637,1,58192
03-01-05-02-01-01-18.wav,16000,16,3.704,1,59259
03-01-05-02-01-02-18.wav,16000,16,3.77,1,60327
03-01-05-02-02-01-18.wav,16000,16,3.837,1,61395
03-01-05-02-02-02-18.wav,16000,16,4.238,1,67801
03-01-06-01-01-01-18.wav,16000,16,3.437,1,54988
03-01-06-01-01-02-18.wav,16000,16,3.403,1,54454
03-01-06-01-02-01-18.wav,16000,16,3.47,1,55522
03-01-06-01-02-02-18.wav,16000,16,3.47,1,55522
03-01-06-02-01-01-18.wav,16000,16,3.737,1,59793
03-01-06-02-01-02-18.wav,16000,16,4.171,1,66733
03-01-06-02-02-01-18.wav,16000,16,3.804,1,60861
03-01-06-02-02-02-18.wav,16000,16,3.804,1,60861
03-01-07-01-01-01-18.wav,16000,16,4.304,1,68869
03-01-07-01-01-02-18.wav,16000,16,4.071,1,65132
03-01-07-01-02-01-18.wav,16000,16,3.67,1,58725
03-01-07-01-02-02-18.wav,16000,16,4.371,1,69937
03-01-07-02-01-01-18.wav,16000,16,4.771,1,76343
03-01-07-02-01-02-18.wav,16000,16,4.471,1,71538
03-01-07-02-02-01-18.wav,16000,16,4.638,1,74207
03-01-07-02-02-02-18.wav,16000,16,4.571,1,73140
03-01-08-01-01-01-18.wav,16000,16,3.37,1,53920
03-01-08-01-01-02-18.wav,16000,16,3.504,1,56056
03-01-08-01-02-01-18.wav,16000,16,3.504,1,56056
03-01-08-01-02-02-18.wav,16000,16,3.504,1,56056
03-01-08-02-01-01-18.wav,16000,16,3.637,1,58192
03-01-08-02-01-02-18.wav,16000,16,3.537,1,56590
03-01-08-02-02-01-18.wav,16000,16,3.871,1,61929
03-01-08-02-02-02-18.wav,16000,16,3.637,1,58191
